# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 7.158246e-01 2.125392e-01 1
#4.69 -nan -nan 0
5.86 2.568022e+00 3.037191e-01 3
7.32 1.706491e+00 4.381302e-02 101
9.16 1.992008e-01 1.427611e-01 1
11.44 1.298616e+00 2.182344e-01 2
14.31 1.874809e+00 5.233146e-02 99
17.88 8.970763e-01 1.081474e-01 5
22.35 1.236873e+00 3.723207e-02 105
27.94 1.627729e+00 4.306609e-02 104
34.92 1.805592e+00 4.496430e-02 105
43.66 2.386545e-01 6.072217e-03 117
54.57 1.311389e-01 3.221659e-03 194
68.21 1.392492e+00 3.329281e-02 223
85.27 9.069949e-01 2.139556e-02 274
106.58 3.581797e-01 7.640189e-03 359
133.23 2.898725e-01 6.592527e-03 403
166.53 4.809427e-02 1.061017e-03 471
208.17 1.437007e-01 3.160017e-03 614
260.21 5.260689e-01 1.132814e-02 674
325.26 2.080962e-01 4.479840e-03 781
406.58 2.259223e-01 5.046843e-03 952
508.22 1.564581e-01 3.492744e-03 1028
635.27 2.682927e-01 6.086014e-03 994
794.09 9.268358e-02 2.488114e-03 847
992.62 8.864667e-02 3.093046e-03 549
