# tau DDM DDMerr n_pairs
3.00 2.595145e-04 1.204411e-04 1
3.75 2.697801e-02 3.967793e-03 1
#4.69 -nan -nan 0
5.86 1.059985e-03 1.531938e-04 4
7.32 4.328638e-03 6.015520e-05 101
9.16 6.252738e-04 8.684185e-05 5
11.44 3.833908e-04 3.224149e-05 3
14.31 5.120826e-03 7.294159e-05 102
17.88 1.376798e-03 4.397167e-05 9
22.35 3.565038e-03 4.642475e-05 110
27.94 4.958082e-03 6.315402e-05 111
34.92 3.152498e-03 4.556391e-05 114
43.66 3.697922e-03 4.713270e-05 126
54.57 4.114003e-03 4.827040e-05 206
68.21 3.532584e-03 4.703571e-05 234
85.27 5.054119e-03 5.822312e-05 298
106.58 6.010034e-03 6.581202e-05 390
133.23 4.442119e-03 5.070928e-05 433
166.53 5.090159e-03 5.706145e-05 501
208.17 4.482313e-03 5.460654e-05 658
260.21 4.390994e-03 4.774708e-05 718
325.26 4.164197e-03 4.615057e-05 844
406.58 5.909827e-03 6.491275e-05 1009
508.22 6.699406e-03 7.137711e-05 1103
635.27 8.393369e-03 9.230606e-05 1038
794.09 9.495190e-03 1.201645e-04 890
992.62 1.522251e-02 2.294846e-04 550
