# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 4.438617e+00 1.448093e+00 1
#4.69 -nan -nan 0
5.86 4.106262e+00 1.009301e+00 2
7.32 5.145105e+00 1.706382e-01 109
9.16 3.026511e+00 1.073593e+00 2
11.44 1.476120e-01 1.350831e-01 2
14.31 3.929268e+00 1.313856e-01 107
17.88 1.580919e+00 3.690899e-01 5
22.35 5.869624e+00 1.827004e-01 111
27.94 5.468320e+00 1.696148e-01 112
34.92 5.394365e+00 1.640295e-01 115
43.66 5.675892e+00 1.710367e-01 123
54.57 5.852378e+00 1.579256e-01 208
68.21 5.518478e+00 1.482923e-01 229
85.27 4.769038e+00 1.371404e-01 304
106.58 5.692390e+00 1.493881e-01 380
133.23 5.997168e+00 1.531601e-01 438
166.53 4.977953e+00 1.293277e-01 502
208.17 5.094871e+00 1.348700e-01 656
260.21 5.153503e+00 1.374895e-01 716
325.26 5.693033e+00 1.510241e-01 840
406.58 5.451409e+00 1.468841e-01 1022
508.22 6.125892e+00 1.624932e-01 1109
635.27 5.167407e+00 1.523887e-01 1038
794.09 5.152914e+00 1.948267e-01 873
992.62 5.382664e+00 3.271008e-01 555
