# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 5.867513e-08 1.686607e-08 2
#4.69 -nan -nan 0
5.86 7.593887e-08 1.621167e-08 3
7.32 2.369151e-07 5.712277e-09 104
9.16 1.759101e-07 2.483344e-08 3
11.44 1.239313e-07 2.376656e-08 3
14.31 2.475167e-07 6.064078e-09 104
17.88 2.285073e-07 1.821714e-08 8
22.35 1.928778e-07 5.093800e-09 111
27.94 2.307689e-07 5.870656e-09 111
34.92 2.157030e-07 5.332785e-09 117
43.66 2.293521e-07 5.560999e-09 127
54.57 2.198109e-07 4.543713e-09 207
68.21 3.189666e-07 5.363947e-09 243
85.27 3.451134e-07 5.683975e-09 295
106.58 3.929583e-07 5.567681e-09 387
133.23 4.492081e-07 5.782298e-09 442
166.53 4.797136e-07 5.613943e-09 511
208.17 6.069366e-07 6.080762e-09 670
260.21 8.161800e-07 7.532038e-09 734
325.26 1.058192e-06 9.062930e-09 849
406.58 1.404067e-06 1.157928e-08 1034
508.22 2.018491e-06 1.710613e-08 1098
635.27 2.758449e-06 2.525231e-08 1035
794.09 4.050720e-06 4.029698e-08 859
992.62 7.732118e-06 9.208153e-08 504
