# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 5.138469e-06 4.838734e-07 2
4.69 2.563293e-06 2.501600e-07 2
5.86 4.939726e-07 8.944724e-08 2
7.32 1.615711e-06 3.248683e-08 107
9.16 5.573601e-06 2.584875e-07 5
11.44 2.526413e-06 1.650016e-07 6
14.31 1.445804e-06 3.346983e-08 105
17.88 2.070000e-06 1.005981e-07 11
22.35 1.257028e-06 2.848434e-08 113
27.94 1.416323e-06 3.255451e-08 117
34.92 1.287648e-06 2.958471e-08 119
43.66 1.884360e-06 3.673414e-08 129
54.57 1.432269e-06 2.636891e-08 219
68.21 1.604712e-06 2.783989e-08 244
85.27 1.733597e-06 2.846783e-08 317
106.58 1.437416e-06 2.323653e-08 399
133.23 1.715967e-06 2.665517e-08 456
166.53 1.908911e-06 2.830707e-08 534
208.17 1.934171e-06 2.817663e-08 691
260.21 2.026454e-06 3.040158e-08 759
325.26 2.043640e-06 3.222585e-08 896
406.58 2.120337e-06 3.270015e-08 1074
508.22 1.826824e-06 3.088708e-08 1155
635.27 1.776034e-06 3.420533e-08 1079
794.09 1.619711e-06 3.717960e-08 889
992.62 1.673011e-06 6.785655e-08 547
