# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 2.654899e-07 1.103781e-07 1
#4.69 -nan -nan 0
5.86 7.119971e-08 3.068161e-08 3
7.32 8.195192e-08 6.195819e-09 104
9.16 2.478993e-07 6.088221e-08 3
11.44 3.364606e-08 2.340088e-08 2
14.31 1.007569e-07 7.170471e-09 104
17.88 6.562944e-08 1.744670e-08 6
22.35 1.075787e-07 7.166946e-09 108
27.94 1.190566e-07 7.871305e-09 108
34.92 1.123157e-07 7.703467e-09 112
43.66 1.085479e-07 7.053716e-09 120
54.57 1.074598e-07 6.373478e-09 203
68.21 1.079720e-07 6.327642e-09 226
85.27 1.230569e-07 6.214879e-09 293
106.58 1.435975e-07 6.774632e-09 370
133.23 1.617225e-07 7.333866e-09 425
166.53 1.857576e-07 7.935423e-09 488
208.17 2.144074e-07 8.407343e-09 639
260.21 2.461878e-07 9.308497e-09 702
325.26 2.711085e-07 1.055967e-08 816
406.58 3.166749e-07 1.286853e-08 988
508.22 3.795410e-07 1.464829e-08 1065
635.27 3.752780e-07 1.630732e-08 1017
794.09 3.139810e-07 1.989307e-08 853
992.62 4.859504e-07 4.156241e-08 530
