# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 9.170202e-08 2.275818e-08 1
#4.69 -nan -nan 0
5.86 2.881785e-07 3.667804e-08 3
7.32 2.219802e-07 3.692668e-09 109
9.16 2.863796e-07 2.136422e-08 4
11.44 1.910131e-07 1.982895e-08 3
14.31 1.932492e-07 3.333265e-09 109
17.88 1.581797e-07 1.173814e-08 8
22.35 1.779836e-07 3.129925e-09 114
27.94 1.935645e-07 3.413778e-09 117
34.92 1.682754e-07 3.170148e-09 120
43.66 2.268708e-07 3.546088e-09 123
54.57 1.944364e-07 2.830119e-09 224
68.21 1.995406e-07 2.962005e-09 243
85.27 2.376879e-07 3.099566e-09 319
106.58 2.442005e-07 3.109139e-09 408
133.23 2.774305e-07 3.427014e-09 459
166.53 2.659134e-07 3.211370e-09 537
208.17 2.875838e-07 3.339991e-09 704
260.21 2.914953e-07 3.582368e-09 774
325.26 3.198701e-07 3.977318e-09 903
406.58 3.194166e-07 3.779693e-09 1081
508.22 3.027121e-07 3.731358e-09 1171
635.27 2.925825e-07 3.716388e-09 1123
794.09 2.204738e-07 4.082776e-09 964
992.62 1.277949e-07 3.836355e-09 603
1240.77 2.471514e-07 3.893282e-08 72
