# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 4.325906e-07 7.751250e-08 2
4.69 9.268161e-08 2.962578e-08 1
5.86 1.989475e-07 2.111337e-08 5
7.32 6.661659e-07 8.087537e-09 105
9.16 5.087219e-07 2.149081e-08 5
11.44 8.638942e-08 1.359205e-08 4
14.31 5.462493e-07 7.254631e-09 109
17.88 3.449756e-07 1.409315e-08 10
22.35 5.512554e-07 7.209576e-09 113
27.94 4.841589e-07 6.086139e-09 120
34.92 5.440944e-07 7.212896e-09 122
43.66 6.037310e-07 7.182122e-09 136
54.57 5.809983e-07 6.481672e-09 220
68.21 6.219525e-07 6.706246e-09 248
85.27 5.619304e-07 5.877324e-09 322
106.58 5.863033e-07 5.937157e-09 408
133.23 6.003496e-07 6.555739e-09 464
166.53 6.616844e-07 6.885529e-09 541
208.17 7.017968e-07 6.315502e-09 698
260.21 8.193401e-07 7.422620e-09 765
325.26 8.878581e-07 7.479464e-09 908
406.58 9.338704e-07 7.846981e-09 1109
508.22 1.145878e-06 9.689450e-09 1224
635.27 1.264174e-06 1.072709e-08 1149
794.09 1.631238e-06 1.685790e-08 995
992.62 1.730754e-06 2.298187e-08 711
