# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 2.183851e-07 7.415640e-08 1
#4.69 -nan -nan 0
5.86 6.197228e-07 4.499234e-08 4
7.32 1.498181e-06 1.913083e-08 107
9.16 1.199562e-06 6.748619e-08 4
11.44 2.105299e-06 9.859647e-08 3
14.31 1.430874e-06 1.993039e-08 107
17.88 8.633061e-07 3.207398e-08 8
22.35 1.677361e-06 1.973909e-08 112
27.94 1.490611e-06 1.868417e-08 114
34.92 1.432672e-06 1.757217e-08 119
43.66 1.655358e-06 1.900002e-08 130
54.57 1.410190e-06 1.599149e-08 213
68.21 1.522478e-06 1.595305e-08 245
85.27 1.624632e-06 1.543160e-08 306
106.58 1.701375e-06 1.699233e-08 401
133.23 1.720833e-06 1.808764e-08 448
166.53 1.741539e-06 1.699866e-08 520
208.17 1.611448e-06 1.616652e-08 679
260.21 1.476973e-06 1.561116e-08 743
325.26 1.734175e-06 1.689397e-08 867
406.58 1.725405e-06 1.608006e-08 1046
508.22 1.650094e-06 1.636904e-08 1131
635.27 1.683626e-06 1.980215e-08 1071
794.09 1.691175e-06 2.704203e-08 909
992.62 1.585745e-06 3.745985e-08 550
