# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 6.687735e-08 2.126861e-08 2
#4.69 -nan -nan 0
5.86 2.952742e-09 2.898447e-09 2
7.32 1.987499e-07 4.746231e-09 103
9.16 3.462538e-07 3.891318e-08 3
11.44 1.582011e-07 1.539482e-08 4
14.31 1.833880e-07 4.446803e-09 102
17.88 6.480546e-08 6.463261e-09 8
22.35 2.303599e-07 4.896902e-09 108
27.94 2.092079e-07 4.668747e-09 111
34.92 2.556971e-07 5.249881e-09 116
43.66 2.158944e-07 4.491683e-09 126
54.57 2.871079e-07 4.891142e-09 207
68.21 2.378548e-07 4.195023e-09 238
85.27 2.600264e-07 4.145587e-09 296
106.58 2.996175e-07 4.497294e-09 392
133.23 3.264234e-07 4.737956e-09 442
166.53 3.567159e-07 5.064508e-09 517
208.17 3.774352e-07 5.015599e-09 675
260.21 4.076080e-07 4.915960e-09 747
325.26 4.508653e-07 5.167939e-09 867
406.58 5.426060e-07 5.933901e-09 1049
508.22 7.592751e-07 8.808413e-09 1126
635.27 1.002054e-06 1.232855e-08 1072
794.09 1.604517e-06 2.136196e-08 909
992.62 2.210776e-06 4.116912e-08 570
1240.77 3.234897e-06 1.911107e-07 78
