# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 2.784249e-07 1.253969e-07 1
4.69 2.576560e-07 8.781446e-08 1
5.86 3.251532e-08 2.140758e-08 2
7.32 2.561913e-07 8.922105e-09 101
9.16 3.610417e-07 7.282744e-08 3
11.44 9.521782e-08 2.682644e-08 3
14.31 3.432443e-07 1.108336e-08 101
17.88 4.551258e-07 5.501979e-08 7
22.35 3.378120e-07 1.015201e-08 108
27.94 3.865044e-07 1.125195e-08 112
34.92 4.821022e-07 1.372562e-08 113
43.66 4.429014e-07 1.175158e-08 122
54.57 4.305748e-07 1.115129e-08 206
68.21 4.446735e-07 1.163890e-08 233
85.27 5.262902e-07 1.311858e-08 294
106.58 4.385781e-07 1.061834e-08 385
133.23 4.860105e-07 1.155148e-08 437
166.53 4.039189e-07 9.854557e-09 502
208.17 4.395721e-07 1.052353e-08 661
260.21 4.431330e-07 1.072786e-08 726
325.26 4.258697e-07 9.806343e-09 840
406.58 4.156064e-07 9.703377e-09 1020
508.22 4.264367e-07 1.007115e-08 1086
635.27 3.880212e-07 1.036840e-08 1016
794.09 4.232014e-07 1.310254e-08 842
992.62 4.470995e-07 2.138358e-08 494
