#MJD    	DM	(err)	
56883.3	26.764066900384058556	0.00180865	56793	56973.6
56983.3	26.763927358663263334	0.00151671	56893	57073.6
57083.3	26.763689249118147728	0.000552837	56993	57173.6
57183.3	26.763319974770713117	0.000786985	57093	57273.6
57283.3	26.763190847480878176	0.00104087	57193	57373.6
57383.3	26.763320634828726696	0.000652328	57293	57473.6
57483.3	26.763483854547338581	0.000493377	57393	57573.6
57583.3	26.763589684593327434	0.000630438	57493	57673.6
57683.3	26.763476296483624139	0.00101539	57593	57773.6
57783.3	26.763346916215446925	0.00124077	57693	57873.6
57883.3	26.763097992449424112	0.000589252	57793	57973.6
57983.3	26.763020257883390229	0.000755795	57893	58073.6
