# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 1.643160e-10 2.307611e-10 1
4.69 1.068258e-08 4.805225e-09 1
5.86 1.555265e-09 2.138258e-09 1
7.32 6.228975e-08 6.848535e-10 106
9.16 1.038761e-07 5.238432e-09 5
11.44 1.946668e-08 2.124543e-09 5
14.31 7.554313e-08 7.599396e-10 103
17.88 1.164061e-07 3.724024e-09 11
22.35 7.445109e-08 7.463283e-10 111
27.94 7.831767e-08 7.647629e-10 112
34.92 8.710385e-08 8.053488e-10 117
43.66 9.443883e-08 7.572282e-10 119
54.57 1.131392e-07 8.258384e-10 215
68.21 1.118686e-07 8.178406e-10 238
85.27 1.360192e-07 8.223977e-10 309
106.58 1.464851e-07 8.697115e-10 392
133.23 1.590365e-07 9.116215e-10 440
166.53 2.267377e-07 1.170964e-09 506
208.17 2.294159e-07 1.118265e-09 662
260.21 2.336543e-07 1.313566e-09 724
325.26 2.293352e-07 1.414523e-09 856
406.58 2.328483e-07 1.364336e-09 1031
508.22 2.186905e-07 1.198830e-09 1130
635.27 1.420163e-07 1.026144e-09 1043
794.09 3.542709e-07 2.221677e-09 894
992.62 7.121642e-07 4.925372e-09 565
