# tau DDM DDMerr n_pairs
3.00 2.048651e-01 1.679198e-01 1
3.75 3.837894e-03 3.853332e-03 1
#4.69 -nan -nan 0
5.86 2.210927e-02 5.981466e-03 4
7.32 3.463950e-01 6.796338e-03 101
9.16 3.458015e-01 2.812627e-02 2
11.44 2.519647e-01 3.064152e-02 4
14.31 3.019136e-01 6.807979e-03 99
17.88 2.868626e-01 1.082157e-02 7
22.35 3.293255e-01 6.238698e-03 106
27.94 3.199948e-01 6.560567e-03 106
34.92 2.782228e-01 5.650212e-03 109
43.66 4.094758e-01 7.348596e-03 123
54.57 3.212441e-01 5.495194e-03 198
68.21 3.912976e-01 6.409200e-03 227
85.27 3.793903e-01 6.016057e-03 284
106.58 3.227058e-01 5.227781e-03 368
133.23 2.915126e-01 4.969369e-03 416
166.53 3.426392e-01 5.347815e-03 487
208.17 2.793660e-01 4.331324e-03 632
260.21 2.806412e-01 4.769101e-03 702
325.26 2.797533e-01 4.592293e-03 814
406.58 3.262846e-01 5.847515e-03 978
508.22 2.902060e-01 5.102398e-03 1051
635.27 3.597967e-01 6.261745e-03 1030
794.09 3.488057e-01 7.572359e-03 870
992.62 3.356189e-01 1.032370e-02 551
1240.77 2.396170e-01 2.215769e-02 45
