# tau DDM DDMerr n_pairs
3.00 2.035135e-05 2.058941e-06 2
3.75 6.146999e-06 5.314940e-06 1
4.69 1.633720e-05 7.293726e-07 10
5.86 2.582967e-05 5.002287e-07 33
7.32 2.240740e-05 2.966309e-07 95
9.16 7.571146e-04 3.937427e-06 16
11.44 2.275376e-05 6.278578e-07 17
14.31 2.621463e-05 2.568094e-07 117
17.88 1.148333e-04 1.043884e-06 26
22.35 3.590940e-05 3.327155e-07 138
27.94 1.092161e-04 4.792377e-07 152
34.92 6.582060e-05 4.388871e-07 158
43.66 9.190648e-05 4.667686e-07 189
54.57 7.392062e-05 4.186667e-07 257
68.21 2.170480e-04 5.074041e-07 318
85.27 1.265165e-04 4.684385e-07 363
106.58 2.272807e-04 5.735424e-07 497
133.23 3.289687e-04 6.716955e-07 563
166.53 2.710158e-04 5.749934e-07 722
208.17 2.201502e-04 6.919058e-07 878
260.21 3.900492e-04 7.985816e-07 1019
325.26 5.269070e-04 9.005566e-07 1207
406.58 4.555104e-04 8.284176e-07 1434
508.22 4.260022e-04 8.482416e-07 1643
635.27 3.969818e-04 9.103076e-07 1769
794.09 1.002855e-03 1.183904e-06 1720
992.62 9.497449e-04 1.959059e-06 1535
1240.77 4.330148e-04 3.259807e-06 936
