# tau DDM DDMerr n_pairs
3.00 8.717432e-08 3.694982e-09 11
3.75 9.178977e-08 3.638092e-09 7
4.69 7.708474e-08 2.218571e-09 31
5.86 2.442156e-07 3.170806e-09 48
7.32 1.387749e-05 1.785531e-08 107
9.16 4.945590e-05 3.761887e-08 45
11.44 4.379341e-08 3.687457e-10 39
14.31 2.943374e-04 4.834649e-08 158
17.88 6.017022e-05 4.037913e-08 66
22.35 1.174881e-05 8.013013e-09 190
27.94 4.382553e-05 1.799171e-08 223
34.92 3.278129e-05 1.518626e-08 244
43.66 4.326400e-04 8.673617e-18 259
54.57 7.561682e-05 1.877762e-08 331
68.21 6.903629e-05 1.582189e-08 386
85.27 9.494599e-05 1.670673e-08 478
106.58 8.913440e-05 1.573537e-08 642
133.23 8.100000e-07 1.874060e-20 750
166.53 6.162735e-05 1.187130e-08 872
208.17 1.239040e-03 7.155734e-18 1078
260.21 1.209551e-03 1.647987e-17 1264
325.26 9.990258e-04 1.409463e-17 1356
406.58 3.979516e-06 3.726945e-20 1548
508.22 3.572100e-04 4.119968e-18 1772
635.27 9.696226e-04 2.081668e-17 1875
794.09 4.000000e-08 5.558654e-22 2088
992.62 1.210000e-06 1.990527e-20 1913
1240.77 4.714493e-07 9.876477e-09 498
