# tau DDM DDMerr n_pairs
3.00 1.854710e-04 1.439821e-04 1
3.75 4.361488e-04 3.833490e-05 4
4.69 1.744775e-04 4.855198e-06 24
5.86 1.033798e-04 2.088872e-06 42
7.32 1.371455e-04 2.436636e-06 83
9.16 2.024507e-04 3.563523e-06 28
11.44 1.747549e-04 3.189109e-06 32
14.31 1.324043e-04 1.819640e-06 114
17.88 1.663006e-04 2.908358e-06 57
22.35 1.502893e-04 1.674499e-06 146
27.94 1.539297e-04 1.775769e-06 168
34.92 1.201218e-04 1.470306e-06 177
43.66 1.112805e-04 1.340483e-06 217
54.57 1.411025e-04 1.527281e-06 291
68.21 1.244587e-04 1.373773e-06 353
85.27 1.429444e-04 1.478641e-06 415
106.58 1.489891e-04 1.494270e-06 513
133.23 1.413444e-04 1.375531e-06 569
166.53 1.500014e-04 1.418348e-06 670
208.17 1.483547e-04 1.385379e-06 867
260.21 1.438277e-04 1.467308e-06 1030
325.26 1.506002e-04 1.493366e-06 1276
406.58 1.725268e-04 1.625985e-06 1513
508.22 1.780909e-04 1.617913e-06 1724
635.27 1.597187e-04 1.658456e-06 1899
794.09 2.140414e-04 2.576858e-06 1886
992.62 3.844219e-04 6.344866e-06 1721
1240.77 7.612172e-04 1.597050e-05 1262
