# tau DDM DDMerr n_pairs
3.00 6.795767e-08 3.035525e-08 2
3.75 4.472136e-08 8.493608e-09 5
4.69 4.007135e-08 3.399076e-09 22
5.86 7.285739e-08 3.953683e-09 37
7.32 9.389317e-08 3.165994e-09 93
9.16 5.479437e-08 4.007285e-09 27
11.44 6.152946e-08 5.014102e-09 19
14.31 7.833008e-08 2.890734e-09 126
17.88 9.472367e-08 4.321418e-09 48
22.35 8.214852e-08 2.260508e-09 159
27.94 8.059361e-08 2.236460e-09 177
34.92 1.055442e-07 2.606453e-09 187
43.66 1.299043e-07 2.704470e-09 218
54.57 1.343710e-07 2.599775e-09 310
68.21 1.588159e-07 2.827929e-09 362
85.27 2.219523e-07 3.421905e-09 436
106.58 2.465648e-07 3.484371e-09 562
133.23 2.843631e-07 3.791835e-09 664
166.53 3.246931e-07 3.915323e-09 798
208.17 3.920211e-07 4.684186e-09 1008
260.21 4.442308e-07 5.221759e-09 1147
325.26 5.154476e-07 5.769872e-09 1350
406.58 5.258608e-07 6.113721e-09 1608
508.22 5.397970e-07 6.191763e-09 1843
635.27 6.334355e-07 6.822806e-09 1990
794.09 5.138043e-07 6.623475e-09 2019
992.62 2.661016e-07 4.673124e-09 1886
1240.77 2.284592e-07 7.657348e-09 1123
