# tau DDM DDMerr n_pairs
3.00 2.399802e-05 3.143451e-06 2
3.75 1.207869e-05 1.160390e-06 4
4.69 1.771675e-05 6.620592e-07 16
5.86 9.137366e-06 2.467167e-07 30
7.32 1.402657e-05 2.109388e-07 79
9.16 1.590699e-05 4.874802e-07 20
11.44 1.106388e-05 6.926414e-07 15
14.31 1.571214e-05 2.148915e-07 103
17.88 3.486670e-05 5.311641e-07 42
22.35 1.753464e-05 2.035766e-07 127
27.94 2.354800e-05 2.377754e-07 144
34.92 2.944823e-05 2.676695e-07 150
43.66 2.689371e-05 2.575555e-07 184
54.57 3.826654e-05 2.849065e-07 246
68.21 3.082684e-05 2.311639e-07 298
85.27 3.963597e-05 2.781568e-07 370
106.58 4.405700e-05 2.926264e-07 470
133.23 4.710118e-05 3.010507e-07 527
166.53 4.920936e-05 3.286272e-07 664
208.17 6.331297e-05 4.067433e-07 827
260.21 5.504548e-05 3.946929e-07 950
325.26 3.460199e-05 2.521335e-07 1149
406.58 3.623438e-05 2.510981e-07 1351
508.22 3.614443e-05 2.378434e-07 1564
635.27 5.028055e-05 3.220279e-07 1693
794.09 5.460638e-05 3.929323e-07 1648
992.62 6.663440e-05 6.191578e-07 1490
1240.77 1.343264e-04 1.809893e-06 953
