# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 1.242533e-05 9.915265e-07 3
4.69 4.737936e-06 1.630232e-07 16
5.86 3.857332e-06 1.107348e-07 32
7.32 6.052840e-03 2.949030e-17 95
9.16 5.657717e-06 1.745695e-07 18
11.44 2.105210e-05 4.007421e-07 17
14.31 7.233779e-06 9.583147e-08 135
17.88 9.028325e-06 1.519178e-07 37
22.35 9.343632e-06 9.630048e-08 138
27.94 1.225862e-05 1.033549e-07 160
34.92 2.380465e-05 1.396101e-07 167
43.66 9.782042e-06 9.139659e-08 196
54.57 4.515652e-05 1.471749e-07 288
68.21 4.286688e-05 1.546836e-07 356
85.27 1.996018e-04 2.546130e-07 407
106.58 3.579071e-05 1.091213e-07 549
133.23 4.995657e-04 4.987330e-18 632
166.53 1.686077e-05 8.294667e-08 778
208.17 5.145032e-05 1.130229e-07 976
260.21 4.651062e-05 1.050345e-07 1123
325.26 6.869543e-05 1.124624e-07 1324
406.58 1.165611e-04 1.226789e-07 1565
508.22 2.053510e-04 1.299593e-07 1778
635.27 2.818886e-04 1.318446e-07 1935
794.09 3.007704e-04 1.746242e-07 2029
992.62 6.296183e-04 3.138559e-07 1905
1240.77 1.930574e-03 5.972377e-07 1287
1550.96 9.071939e-06 5.704575e-07 190
