# tau DDM DDMerr n_pairs
3.00 8.012911e-06 2.341529e-06 1
3.75 6.729915e-07 1.262789e-07 4
4.69 1.758940e-06 6.408911e-08 15
5.86 2.267568e-06 4.892444e-08 26
7.32 1.972178e-06 2.589076e-08 77
9.16 3.345840e-06 8.721132e-08 18
11.44 3.377339e-06 9.352967e-08 14
14.31 2.753735e-06 3.249642e-08 96
17.88 3.515327e-06 7.041750e-08 33
22.35 2.909400e-06 2.532809e-08 105
27.94 3.697816e-06 3.110049e-08 119
34.92 5.213001e-06 3.631189e-08 121
43.66 6.359755e-06 3.785915e-08 153
54.57 6.719981e-06 3.978428e-08 180
68.21 7.771415e-06 4.142323e-08 229
85.27 9.037114e-06 4.323803e-08 246
106.58 1.160631e-05 5.237869e-08 307
133.23 1.509179e-05 6.357005e-08 325
166.53 1.663720e-05 6.706251e-08 401
208.17 2.045350e-05 8.208339e-08 468
260.21 2.058594e-05 9.167141e-08 411
325.26 8.114232e-06 5.180785e-08 371
406.58 5.198877e-06 4.387802e-08 298
508.22 1.613702e-05 1.089783e-07 303
635.27 3.742980e-05 2.652422e-07 396
794.09 2.880225e-05 2.121544e-07 1095
992.62 3.210758e-05 1.977414e-07 1477
1240.77 1.729457e-05 2.969552e-07 1027
