# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 3.466955e-06 3.355444e-07 4
4.69 1.746171e-05 7.082759e-07 7
5.86 1.854133e-05 4.439268e-07 33
7.32 2.035529e-05 2.683673e-07 83
9.16 2.004259e-05 5.300279e-07 19
11.44 2.915901e-05 5.426069e-07 20
14.31 2.063691e-05 2.819117e-07 99
17.88 2.159797e-05 3.498755e-07 38
22.35 2.592217e-05 2.881929e-07 116
27.94 2.256544e-05 2.379103e-07 136
34.92 2.374169e-05 2.763818e-07 137
43.66 2.161935e-05 2.359131e-07 172
54.57 2.284186e-05 2.282293e-07 234
68.21 2.348141e-05 2.230142e-07 284
85.27 2.280854e-05 2.000369e-07 327
106.58 2.148335e-05 1.962764e-07 433
133.23 2.279865e-05 1.966253e-07 510
166.53 2.639914e-05 2.240481e-07 635
208.17 2.296204e-05 1.999113e-07 802
260.21 2.487059e-05 2.137291e-07 894
325.26 2.594310e-05 2.166316e-07 1106
406.58 2.658119e-05 2.094405e-07 1313
508.22 2.491493e-05 2.245418e-07 1441
635.27 2.784692e-05 2.343393e-07 1581
794.09 3.086786e-05 3.228230e-07 1613
992.62 2.885825e-05 3.882036e-07 1437
1240.77 3.336384e-05 8.046295e-07 924
1550.96 2.070590e-05 2.067533e-06 126
