# tau DDM DDMerr n_pairs
3.00 1.441010e-04 1.064835e-05 1
3.75 1.257492e-04 1.228866e-05 2
4.69 1.504239e-04 3.162005e-06 15
5.86 7.437014e-05 1.769287e-06 28
7.32 1.160883e-04 1.631690e-06 86
9.16 1.260782e-04 3.281067e-06 14
11.44 5.326529e-05 2.899904e-06 7
14.31 1.158229e-04 1.361629e-06 122
17.88 6.125489e-05 1.643891e-06 24
22.35 1.144210e-04 1.187003e-06 130
27.94 1.159435e-04 1.295727e-06 140
34.92 1.096890e-04 1.246683e-06 135
43.66 9.386319e-05 1.035877e-06 171
54.57 1.144351e-04 1.087465e-06 238
68.21 1.281611e-04 1.048035e-06 291
85.27 1.390279e-04 1.163038e-06 338
106.58 1.278452e-04 9.848534e-07 455
133.23 1.365418e-04 1.025046e-06 527
166.53 1.596726e-04 1.033183e-06 591
208.17 1.905944e-04 1.131227e-06 745
260.21 2.252352e-04 1.184678e-06 856
325.26 2.799580e-04 1.189584e-06 1075
406.58 3.602941e-04 1.394116e-06 1274
508.22 5.271944e-04 2.034676e-06 1529
635.27 7.963533e-04 3.161118e-06 1638
794.09 1.305745e-03 5.327999e-06 1572
992.62 1.953201e-03 9.268635e-06 1204
1240.77 3.092436e-03 1.804511e-05 900
