# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 1.209468e-06 2.835779e-07 3
4.69 4.031384e-06 1.894883e-07 10
5.86 3.787312e-06 8.986460e-08 39
7.32 4.133831e-06 5.507026e-08 98
9.16 2.275023e-06 9.621800e-08 19
11.44 2.685909e-06 1.038196e-07 17
14.31 1.172438e-05 8.789735e-08 134
17.88 2.435507e-06 8.567147e-08 37
22.35 4.632831e-06 5.301555e-08 151
27.94 4.064677e-06 5.069227e-08 164
34.92 4.075707e-06 4.693303e-08 165
43.66 4.610468e-06 4.740329e-08 205
54.57 3.976759e-06 4.116299e-08 280
68.21 5.281669e-06 4.032837e-08 345
85.27 7.982249e-06 3.793501e-08 407
#106.58 9.671466e-32 7.050422e-34 532
133.23 5.890298e-06 4.124973e-08 623
166.53 5.903541e-06 4.454902e-08 777
208.17 7.571612e-06 4.044306e-08 946
260.21 6.781570e-06 4.194890e-08 1110
325.26 8.811023e-06 4.551518e-08 1358
406.58 8.946704e-06 5.195524e-08 1534
508.22 1.044198e-05 6.023900e-08 1737
635.27 1.547112e-05 8.684022e-08 1831
794.09 2.062119e-05 1.174058e-07 1977
992.62 1.348987e-04 3.304813e-08 1774
1240.77 1.434607e-04 3.302324e-08 991
