# tau DDM DDMerr n_pairs
3.00 5.582491e-06 3.097838e-07 6
3.75 2.531498e-06 3.353736e-07 4
4.69 1.503754e-06 3.941140e-08 19
5.86 1.159201e-06 2.156031e-08 35
7.32 1.545716e-06 2.414876e-08 82
9.16 8.480476e-07 2.728891e-08 24
11.44 2.440183e-06 5.074313e-08 20
14.31 1.437482e-06 1.687614e-08 120
17.88 1.918674e-06 4.119980e-08 38
22.35 2.111348e-06 1.747814e-08 140
27.94 2.700159e-06 2.213396e-08 160
34.92 3.485297e-06 2.738385e-08 160
43.66 5.262912e-06 2.835510e-08 207
54.57 5.004807e-06 2.511100e-08 269
68.21 6.240809e-06 2.421569e-08 344
85.27 8.456959e-06 2.901941e-08 402
106.58 1.046932e-05 3.087295e-08 527
133.23 1.466582e-05 3.767691e-08 608
166.53 1.861210e-05 3.854155e-08 779
208.17 2.119714e-05 3.816546e-08 948
260.21 3.032156e-05 5.054737e-08 1099
325.26 4.577622e-05 7.099728e-08 1276
406.58 6.353169e-05 9.678077e-08 1527
508.22 9.615126e-05 1.448273e-07 1706
635.27 1.513202e-04 2.330286e-07 1804
794.09 2.525796e-04 4.200912e-07 1839
992.62 4.484340e-04 1.063888e-06 1626
1240.77 5.102603e-04 2.525707e-06 809
