# tau DDM DDMerr n_pairs
3.00 1.357739e-06 2.959233e-07 3
3.75 2.717760e-07 1.068027e-07 2
4.69 3.644183e-06 1.682981e-07 13
5.86 3.863869e-06 8.574622e-08 23
7.32 2.497558e-06 4.361321e-08 67
9.16 2.696492e-06 1.521968e-07 11
11.44 2.589117e-06 1.025130e-07 19
14.31 4.912026e-06 6.487189e-08 84
17.88 2.078555e-06 7.438413e-08 29
22.35 3.481813e-06 4.933817e-08 96
27.94 3.788351e-06 4.952414e-08 107
34.92 3.583858e-06 4.749979e-08 116
43.66 3.919066e-06 5.021297e-08 147
54.57 4.486804e-06 5.261094e-08 189
68.21 4.371754e-06 5.073302e-08 219
85.27 3.500212e-06 4.271843e-08 265
106.58 4.431952e-06 5.035346e-08 353
133.23 4.649646e-06 5.039116e-08 389
166.53 4.490621e-06 5.252295e-08 451
208.17 3.807355e-06 4.623940e-08 516
260.21 3.707027e-06 4.601345e-08 557
325.26 3.503926e-06 4.084598e-08 671
406.58 3.494950e-06 3.766140e-08 778
508.22 4.281415e-06 4.951944e-08 911
635.27 3.791162e-06 5.076825e-08 1005
794.09 4.977145e-06 7.340566e-08 1088
992.62 5.183334e-06 8.710195e-08 1167
1240.77 4.646411e-06 1.673470e-07 565
