# tau DDM DDMerr n_pairs
3.00 1.258108e-08 3.478376e-10 8
3.75 4.027202e-08 1.205248e-09 5
4.69 9.770747e-09 2.729736e-10 14
5.86 5.748854e-08 8.825595e-10 27
7.32 9.553026e-09 1.421871e-10 101
9.16 2.852701e-08 1.151454e-09 20
11.44 1.737158e-08 7.988108e-10 21
14.31 3.133563e-08 2.147725e-10 118
17.88 8.741839e-08 9.623853e-10 47
22.35 4.416611e-08 2.538952e-10 149
27.94 9.922311e-08 4.789747e-10 169
34.92 1.017680e-07 4.725719e-10 176
43.66 1.537771e-07 6.398678e-10 220
54.57 2.613475e-07 9.897430e-10 283
68.21 3.240317e-07 9.828980e-10 359
85.27 4.300080e-07 1.185888e-09 424
106.58 6.261020e-07 1.345724e-09 568
133.23 9.202153e-07 1.599272e-09 658
166.53 1.201530e-06 1.527543e-09 804
208.17 1.556542e-06 2.638529e-09 1010
260.21 2.578489e-06 4.921531e-09 1170
325.26 3.311467e-06 5.507746e-09 1408
406.58 3.856952e-06 5.614723e-09 1641
508.22 3.689150e-06 4.759552e-09 1902
635.27 2.858005e-06 2.869775e-09 1986
794.09 3.338585e-06 4.053549e-09 1978
992.62 1.155972e-05 1.430838e-08 1738
1240.77 1.594519e-05 2.910994e-08 1016
