# tau DDM DDMerr n_pairs
3.00 6.581898e-06 2.377218e-07 5
3.75 1.097746e-06 9.534867e-08 8
4.69 4.582035e-06 1.343855e-07 17
5.86 1.997168e-06 4.696553e-08 34
7.32 3.741318e-06 4.263379e-08 87
9.16 2.947463e-06 7.923271e-08 29
11.44 2.903862e-06 1.080883e-07 23
14.31 3.287110e-06 3.725941e-08 124
17.88 3.611804e-06 8.261655e-08 52
22.35 3.965960e-06 4.034266e-08 150
27.94 3.605422e-06 3.749397e-08 172
34.92 4.005161e-06 3.755739e-08 179
43.66 2.899767e-06 2.845535e-08 231
54.57 3.316097e-06 3.217558e-08 286
68.21 3.771450e-06 3.295232e-08 377
85.27 3.739654e-06 3.032773e-08 430
106.58 3.471164e-06 2.856223e-08 549
133.23 3.830570e-06 2.981821e-08 653
166.53 3.835343e-06 2.851488e-08 807
208.17 3.616158e-06 2.851474e-08 1017
260.21 3.683415e-06 2.719776e-08 1180
325.26 3.495091e-06 2.625663e-08 1370
406.58 3.566154e-06 2.730648e-08 1604
508.22 4.133793e-06 3.115546e-08 1872
635.27 4.875587e-06 3.872779e-08 1979
794.09 4.827431e-06 4.432197e-08 2057
992.62 6.605313e-06 7.069614e-08 1923
1240.77 1.312031e-05 1.986535e-07 1164
