# tau DDM DDMerr n_pairs
3.00 4.085463e-08 7.023664e-09 2
3.75 2.591776e-07 2.370447e-08 3
4.69 1.791625e-07 6.045421e-09 15
5.86 5.038005e-07 4.163660e-09 47
7.32 5.346975e-07 3.577171e-09 110
9.16 4.137464e-07 6.512152e-09 21
11.44 6.045516e-07 6.139807e-09 26
14.31 5.142785e-07 2.879880e-09 136
17.88 6.670082e-07 4.998389e-09 56
22.35 6.374548e-07 3.226507e-09 157
27.94 6.598856e-07 2.949089e-09 188
34.92 6.340065e-07 2.776938e-09 186
43.66 6.633683e-07 2.897191e-09 237
54.57 7.146711e-07 2.565265e-09 304
68.21 9.395055e-07 3.014228e-09 369
85.27 1.007774e-06 2.984240e-09 441
106.58 1.219901e-06 3.136591e-09 567
133.23 1.430162e-06 3.482531e-09 661
166.53 2.104890e-06 4.527636e-09 812
208.17 2.782101e-06 5.409447e-09 1005
260.21 3.746595e-06 6.429051e-09 1167
325.26 5.120157e-06 7.799176e-09 1461
406.58 8.113637e-06 1.032445e-08 1563
508.22 1.208454e-05 1.331026e-08 1777
635.27 1.563903e-05 1.567300e-08 1977
794.09 1.755185e-05 1.782371e-08 2084
992.62 1.895170e-05 2.461227e-08 1974
1240.77 2.131001e-05 5.939139e-08 1094
