# tau DDM DDMerr n_pairs
3.00 4.540780e-06 1.595465e-07 4
3.75 8.708352e-06 4.426631e-07 2
4.69 4.673513e-06 9.636932e-08 23
5.86 6.188925e-06 1.179625e-07 38
7.32 4.973263e-06 4.786087e-08 104
9.16 2.503346e-06 7.896427e-08 22
11.44 5.003946e-06 1.270487e-07 19
14.31 4.959720e-06 4.792311e-08 145
17.88 3.922496e-06 6.933751e-08 52
22.35 5.150726e-06 4.607763e-08 164
27.94 5.593901e-06 4.460475e-08 192
34.92 4.383156e-06 3.893093e-08 184
43.66 4.844041e-06 3.614081e-08 229
54.57 5.477032e-06 4.231886e-08 305
68.21 4.958744e-06 3.546594e-08 345
85.27 5.238194e-06 3.694432e-08 434
106.58 4.778069e-06 3.056760e-08 531
133.23 6.007519e-06 3.608229e-08 637
166.53 5.250777e-06 3.296035e-08 780
208.17 6.035596e-06 2.967581e-08 965
260.21 6.754920e-06 3.471678e-08 1120
325.26 7.144721e-06 3.491063e-08 1261
406.58 8.722669e-06 3.955852e-08 1508
508.22 1.111652e-05 4.450203e-08 1782
635.27 1.329015e-05 5.970208e-08 1949
794.09 1.869154e-05 8.484360e-08 1982
992.62 3.355773e-05 1.451755e-07 1828
1240.77 5.759597e-05 4.382125e-07 1219
1550.96 7.773037e-05 2.614574e-06 103
