# tau DDM DDMerr n_pairs
3.00 3.528284e-05 2.249355e-06 3
3.75 1.107664e-05 8.476627e-07 5
4.69 8.719032e-06 4.270844e-07 17
5.86 4.497343e-06 2.238982e-07 37
7.32 7.555422e-06 2.431427e-07 75
9.16 1.289823e-05 4.890873e-07 27
11.44 9.283360e-06 4.590733e-07 23
14.31 8.334107e-06 1.913376e-07 109
17.88 1.582997e-05 4.392872e-07 45
22.35 9.719349e-06 2.187030e-07 129
27.94 1.163049e-05 2.138861e-07 156
34.92 1.210526e-05 2.117900e-07 164
43.66 1.185191e-05 1.832144e-07 210
54.57 1.606345e-05 2.123679e-07 277
68.21 1.617617e-05 1.900623e-07 328
85.27 2.177010e-05 2.032438e-07 418
106.58 2.658198e-05 1.971717e-07 520
133.23 3.704560e-05 2.409486e-07 611
166.53 5.122086e-05 2.648242e-07 773
208.17 7.534107e-05 3.334553e-07 937
260.21 1.111409e-04 4.174457e-07 1092
325.26 1.704371e-04 5.743031e-07 1280
406.58 2.539452e-04 7.655611e-07 1524
508.22 3.929577e-04 1.088823e-06 1731
635.27 5.892495e-04 1.638221e-06 1854
794.09 8.701717e-04 2.221697e-06 1900
992.62 1.048333e-03 2.800937e-06 1766
1240.77 9.763908e-04 4.319620e-06 1066
