# tau DDM DDMerr n_pairs
3.00 2.395244e-04 3.857486e-06 10
3.75 1.838731e-04 4.004125e-06 9
4.69 6.953578e-05 1.569626e-06 22
5.86 2.198906e-04 1.791940e-06 53
7.32 2.313463e-03 5.074066e-17 137
9.16 6.556536e-05 1.094209e-06 32
11.44 6.978493e-05 1.465233e-06 36
14.31 3.789422e-04 2.602085e-18 187
17.88 3.648160e-03 5.247539e-17 71
22.35 2.079360e-03 3.165870e-17 217
27.94 1.585038e-03 2.515349e-17 252
34.92 2.021606e-03 1.084202e-17 264
43.66 1.711387e-03 2.645453e-17 312
54.57 3.600000e-07 7.887994e-21 424
68.21 3.832521e-04 4.933120e-18 552
85.27 1.912811e-03 3.512815e-17 628
106.58 7.303705e-04 9.432559e-18 799
133.23 5.735831e-04 5.312591e-18 891
166.53 6.851204e-04 7.047314e-18 1091
208.17 8.309855e-04 1.843144e-17 1249
260.21 4.127322e-04 6.451003e-18 1296
325.26 1.027422e-03 1.843144e-17 1316
406.58 6.801298e-04 1.095044e-17 1130
508.22 2.779881e-04 5.095750e-18 703
635.27 1.115560e-03 6.071532e-18 303
