# tau DDM DDMerr n_pairs
3.00 2.500517e-07 1.153994e-08 2
3.75 4.512165e-07 5.109649e-09 5
4.69 8.481079e-08 1.067601e-09 18
5.86 9.190872e-08 1.018773e-09 26
7.32 1.070211e-07 7.451704e-10 87
9.16 8.296328e-08 1.139908e-09 21
11.44 9.458482e-08 1.459779e-09 20
14.31 1.108619e-07 6.729811e-10 112
17.88 7.107145e-08 8.819045e-10 36
22.35 9.851252e-08 5.682397e-10 131
27.94 7.688128e-08 5.169952e-10 150
34.92 1.101555e-07 5.535860e-10 151
43.66 8.619254e-08 4.512846e-10 188
54.57 9.213687e-08 4.910682e-10 250
68.21 9.283899e-08 4.324620e-10 297
85.27 1.016439e-07 4.638543e-10 372
106.58 9.728664e-08 4.337885e-10 470
133.23 1.094327e-07 4.722272e-10 543
166.53 1.208442e-07 4.677194e-10 687
208.17 1.188833e-07 4.585555e-10 878
260.21 1.363403e-07 4.987574e-10 1015
325.26 1.692140e-07 5.728796e-10 1190
406.58 2.114907e-07 6.824930e-10 1428
508.22 2.283477e-07 7.661869e-10 1582
635.27 2.750639e-07 9.699919e-10 1645
794.09 3.476469e-07 1.285730e-09 1587
992.62 4.210830e-07 2.012880e-09 1314
1240.77 5.059958e-07 7.734810e-09 631
