# tau DDM DDMerr n_pairs
3.00 3.915789e-06 1.105900e-06 2
3.75 3.746056e-05 2.176175e-06 6
4.69 1.342974e-05 5.431180e-07 17
5.86 1.421866e-05 3.223733e-07 29
7.32 1.180686e-04 3.926767e-07 101
9.16 2.362426e-05 7.894704e-07 22
11.44 1.626735e-05 4.595186e-07 30
14.31 4.363335e-05 3.205014e-07 105
17.88 2.271830e-05 3.325726e-07 67
22.35 2.646879e-05 2.386232e-07 127
27.94 4.937454e-05 2.906982e-07 169
34.92 3.000420e-05 1.963616e-07 169
43.66 1.226461e-05 1.216232e-07 221
54.57 1.706680e-05 1.764022e-07 284
68.21 4.152680e-05 2.062394e-07 352
85.27 2.912236e-05 1.778590e-07 415
106.58 2.748947e-05 1.521693e-07 553
133.23 4.181181e-05 1.655874e-07 657
166.53 8.940100e-04 6.179952e-18 807
208.17 4.386627e-05 1.762488e-07 971
260.21 6.096581e-05 1.688281e-07 1134
325.26 2.044900e-04 3.767603e-18 1360
406.58 4.366587e-05 1.681948e-07 1588
508.22 2.433600e-04 2.466560e-18 1842
635.27 2.656900e-04 3.686287e-18 1987
794.09 1.849600e-04 2.385245e-18 1993
992.62 2.112038e-05 3.049619e-07 1817
1240.77 4.900000e-07 5.717472e-21 1180
