# tau DDM DDMerr n_pairs
3.00 1.350528e-05 8.305316e-06 1
3.75 1.272800e-05 8.262006e-07 4
4.69 1.518701e-05 2.639749e-07 17
5.86 9.120866e-06 1.861021e-07 43
7.32 1.648839e-05 1.792735e-07 96
9.16 6.620359e-06 1.853833e-07 23
11.44 1.125504e-05 2.876871e-07 19
14.31 1.079597e-05 1.307226e-07 137
17.88 1.509652e-05 2.362072e-07 43
22.35 1.441124e-05 1.227424e-07 162
27.94 1.202210e-05 1.163412e-07 172
34.92 1.165023e-05 1.167925e-07 179
43.66 1.396735e-05 1.174445e-07 215
54.57 1.259868e-05 1.142724e-07 310
68.21 1.156570e-05 9.887046e-08 366
85.27 1.170842e-05 1.106201e-07 431
106.58 1.247296e-05 1.030426e-07 561
133.23 1.315733e-05 1.069609e-07 660
166.53 1.268266e-05 1.066238e-07 809
208.17 1.138071e-05 9.946310e-08 1000
260.21 3.904077e-05 2.953118e-08 1106
325.26 1.187474e-05 8.893546e-08 1358
406.58 1.420442e-05 1.052874e-07 1572
508.22 1.613443e-05 1.128290e-07 1689
635.27 1.440052e-05 1.169901e-07 1783
794.09 2.011497e-05 1.673757e-07 1950
992.62 2.733595e-05 2.404459e-07 1491
1240.77 2.401084e-05 4.784113e-07 599
