# tau DDM DDMerr n_pairs
3.00 1.409625e-04 5.854832e-06 2
3.75 3.022112e-05 4.353747e-07 6
4.69 2.725154e-06 8.158556e-08 24
5.86 7.592006e-06 9.986850e-08 53
7.32 4.909159e-06 5.016445e-08 124
9.16 7.769939e-06 1.234422e-07 36
11.44 1.324518e-05 1.994135e-07 35
14.31 1.462335e-05 8.034355e-08 154
17.88 9.502716e-06 8.831347e-08 71
22.35 7.231436e-06 5.850409e-08 191
27.94 9.820538e-06 5.582330e-08 217
34.92 8.220025e-06 5.363100e-08 227
43.66 1.697354e-05 6.538649e-08 272
54.57 9.651077e-06 4.783716e-08 397
68.21 1.181431e-05 5.088329e-08 473
85.27 8.051463e-06 4.527194e-08 578
106.58 2.822400e-04 3.632077e-18 683
133.23 1.449262e-05 5.042554e-08 801
166.53 8.618312e-06 3.932663e-08 1005
208.17 2.812271e-05 5.339349e-08 1170
260.21 1.846903e-05 4.629931e-08 1352
325.26 7.562500e-04 1.301043e-17 1599
406.58 1.840905e-05 4.218566e-08 1837
508.22 1.144900e-04 8.267042e-19 2141
635.27 3.790423e-05 5.725313e-08 2391
794.09 3.743550e-05 6.820241e-08 2532
992.62 5.885243e-05 9.741986e-08 2472
1240.77 1.697162e-04 1.967053e-07 1599
