# tau DDM DDMerr n_pairs
3.00 1.356063e-04 9.992406e-06 2
3.75 5.332845e-05 6.228862e-06 4
4.69 2.451893e-05 1.908274e-06 6
5.86 4.811160e-05 1.388039e-06 23
7.32 6.428959e-05 1.234567e-06 54
9.16 3.189445e-05 1.870872e-06 11
11.44 1.036067e-04 4.874291e-06 9
14.31 6.050460e-05 9.049994e-07 75
17.88 4.556437e-05 1.052460e-06 23
22.35 5.123849e-05 9.582545e-07 87
27.94 9.927425e-05 1.228516e-06 93
34.92 4.454507e-05 8.905632e-07 96
43.66 5.998974e-05 8.180210e-07 121
54.57 5.481698e-05 6.749658e-07 163
68.21 5.204663e-05 7.081770e-07 205
85.27 7.228248e-05 9.442200e-07 242
106.58 5.559549e-05 6.980036e-07 304
133.23 6.370131e-05 6.941792e-07 350
166.53 9.153027e-05 7.244100e-07 407
208.17 9.002705e-05 6.891967e-07 488
260.21 6.520155e-05 7.074879e-07 532
325.26 4.711777e-05 5.596875e-07 596
406.58 2.533932e-05 2.690426e-07 664
508.22 6.141759e-05 7.291766e-07 662
635.27 5.234927e-05 8.334339e-07 516
794.09 4.971907e-05 1.106678e-06 153
