# tau DDM DDMerr n_pairs
3.00 2.205558e-05 2.562223e-06 4
3.75 3.616878e-07 4.434103e-07 1
4.69 3.111132e-05 9.373747e-07 19
5.86 1.692614e-05 5.008248e-07 34
7.32 2.769655e-05 4.994257e-07 77
9.16 2.588786e-05 8.198471e-07 26
11.44 2.255983e-05 7.937665e-07 21
14.31 4.079067e-05 4.912439e-07 111
17.88 4.217037e-05 8.330265e-07 48
22.35 2.454981e-05 3.297600e-07 132
27.94 3.571708e-05 3.901190e-07 157
34.92 2.774089e-05 3.682715e-07 168
43.66 3.474082e-05 3.799667e-07 199
54.57 2.911692e-05 2.983181e-07 278
68.21 3.429760e-05 3.381331e-07 322
85.27 3.257382e-05 3.370646e-07 408
106.58 3.620307e-05 3.415814e-07 494
133.23 4.151826e-05 3.774871e-07 602
166.53 4.134052e-05 3.795875e-07 736
208.17 4.058533e-05 3.632971e-07 924
260.21 3.923222e-05 3.285249e-07 1049
325.26 3.835273e-05 3.151306e-07 1204
406.58 3.782793e-05 3.292028e-07 1410
508.22 4.369329e-05 3.974457e-07 1619
635.27 4.529245e-05 4.471421e-07 1749
794.09 4.840042e-05 5.343592e-07 1790
992.62 5.780538e-05 8.526454e-07 1663
1240.77 4.161937e-05 1.281723e-06 802
