# tau DDM DDMerr n_pairs
#3.00 -nan -nan 0
3.75 1.023965e-08 2.551473e-09 1
#4.69 -nan -nan 0
5.86 1.160541e-08 3.208915e-09 2
7.32 5.814190e-08 9.660484e-10 104
9.16 6.374913e-08 4.660117e-09 4
11.44 1.438003e-08 2.356783e-09 3
14.31 4.663634e-08 7.855687e-10 102
17.88 8.653929e-08 2.780302e-09 8
22.35 6.855826e-08 9.705416e-10 108
27.94 6.740574e-08 1.020477e-09 110
34.92 8.281172e-08 1.020394e-09 109
43.66 9.279904e-08 1.074773e-09 129
54.57 9.727750e-08 1.044438e-09 204
68.21 1.061036e-07 1.082902e-09 242
85.27 1.507095e-07 1.219408e-09 290
106.58 1.680266e-07 1.255220e-09 387
133.23 2.194548e-07 1.333639e-09 428
166.53 2.783276e-07 1.472968e-09 494
208.17 4.329659e-07 2.114902e-09 651
260.21 6.033460e-07 2.728438e-09 708
325.26 6.784545e-07 2.928147e-09 836
406.58 8.381251e-07 3.581595e-09 1014
508.22 1.152491e-06 4.936696e-09 1082
635.27 1.980725e-06 8.189382e-09 984
794.09 4.316695e-06 1.767039e-08 824
992.62 8.517451e-06 4.776255e-08 476
